id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
713624151554100780,Bungalow in Asheville · ★5.0 · 2 bedrooms · 2 beds · 1 bath,154432546,Jen,,28801,35.58275,-82.5596,Entire home/apt,125,28,4,2023-11-17,0.30,2,326,3,
714377701528965422,Home in Asheville · ★5.0 · 5 bedrooms · 6 beds · 3 baths,96187307,Yonder,,28804,35.65172,-82.58787,Entire home/apt,569,1,6,2023-10-13,0.44,52,364,5,
714523729471504500,Home in Asheville · ★4.95 · 1 bedroom · 1 bed · 1 private bath,218966482,Dan,,28806,35.50716,-82.60204,Private room,50,2,21,2023-12-02,1.40,1,357,14,
714670482096384597,Vacation home in Asheville · ★4.94 · 3 bedrooms · 4 beds · 2 baths,139534845,Rachel,,28803,35.55275,-82.51426,Entire home/apt,325,2,33,2023-11-22,2.31,1,334,26,
715114759668615418,Guest suite in Asheville · ★5.0 · 1 bedroom · 1 bed · 1 bath,216246091,David,,28806,35.61166,-82.57981,Entire home/apt,96,2,23,2023-11-12,1.50,1,346,18,
715313764611581951,Rental unit in Asheville · ★5.0 · 1 bedroom · 1 bed · 1 bath,346820564,Athena,,28804,35.61992,-82.57149,Entire home/apt,174,2,5,2023-04-30,0.37,3,320,2,
715340950846778381,Rental unit in Asheville · ★4.78 · 1 bedroom · 1 bed · 1 bath,346820564,Athena,,28804,35.62232,-82.57168,Entire home/apt,168,2,9,2023-01-02,0.60,3,320,1,
715378065890700582,Rental unit in Asheville · ★4.99 · 2 bedrooms · 2 beds · 2 baths,6074062,Melissa,,28801,35.60232,-82.54473,Entire home/apt,133,1,100,2023-12-03,6.62,9,0,82,
715845302265452266,Cabin in Arden · ★4.67 · 2 bedrooms · 3 beds · 1 bath,477251437,Asheville River Cabins,,28704,35.4913256,-82.5715398,Entire home/apt,326,1,6,2023-07-09,0.40,13,308,4,
715852949809222793,Cabin in Arden · ★4.91 · 2 bedrooms · 5 beds · 1 bath,477251437,Asheville River Cabins,,28704,35.4913256,-82.5715398,Entire home/apt,359,1,21,2023-11-25,1.38,13,0,19,
716083642701351660,Rental unit in Asheville · ★4.96 · 2 bedrooms · 2 beds · 2 baths,6074062,Melissa,,28801,35.60207,-82.54604,Entire home/apt,125,1,70,2023-12-03,4.68,9,0,56,
716596573978630523,Cabin in Asheville · ★4.50 · 2 bedrooms · 2 beds · 1 bath,134903005,Carolina Mornings,,28806,35.6003644,-82.60574103,Entire home/apt,38,1,16,2023-12-02,1.09,45,350,13,
717338236140443946,Home in Asheville · ★4.33 · 1 bedroom · 1 bed · 1 shared bath,243185179,Holden,,28804,35.61793,-82.55703,Private room,82,2,3,2022-11-06,0.21,1,351,0,
717483947483055729,Guest suite in Asheville · ★4.91 · 1 bedroom · 1 bed · 1 bath,27736078,Eve,,28806,35.57733,-82.59714,Entire home/apt,93,1,45,2023-12-03,3.05,1,344,35,
717877485430444519,Guest suite in Asheville · ★5.0 · 2 bedrooms · 3 beds · 1 bath,479866356,Andrew,,28806,35.631556910131955,-82.64324125825726,Entire home/apt,94,3,4,2023-12-11,1.90,1,201,4,
718051160607923605,Guest suite in Asheville · ★4.97 · 1 bedroom · 1 bed · 1 bath,479901823,Jeff,,28801,35.60986,-82.5748,Entire home/apt,221,1,73,2023-12-17,7.42,1,302,73,
718069047508654436,Home in Asheville · ★5.0 · 1 bedroom · 1 bed · 1 private bath,839950,Shawn And Dave,,28803,35.56098,-82.50707,Private room,89,2,33,2023-11-26,2.27,2,1,28,
718311061895949027,Home in Asheville · ★5.0 · 3 bedrooms · 4 beds · 2 baths,1210609,Isabel,,28804,35.62239,-82.55574,Entire home/apt,115,28,3,2023-12-06,0.38,1,235,3,
719605170711816265,Home in Asheville · ★4.98 · 3 bedrooms · 4 beds · 3 baths,380208623,Matthew,,28803,35.48914,-82.51257,Entire home/apt,211,2,46,2023-11-29,3.28,1,166,37,
720161564831875605,Villa in Woodfin · ★5.0 · 4 bedrooms · 4 beds · 4 baths,96187307,Yonder,,28804,35.64089,-82.57349,Entire home/apt,290,1,25,2023-12-12,1.76,52,334,22,
720169989167279784,Cabin in Asheville · 1 bedroom · 1 bed · 1 bath,411300973,Jennifer,,28805,35.5862339,-82.4916251,Entire home/apt,70,30,0,,,1,268,0,
720494975110782197,Place to stay in Asheville · 1 bedroom · 1 bed · 1 bath,480374056,Unique,,28806,35.55854,-82.60342,Entire home/apt,100,1,0,,,1,351,0,
720918444382057846,Home in Asheville · ★5.0 · 2 bedrooms · 2 beds · 1 private bath,14989814,Michelle,,28806,35.57508,-82.58984,Private room,75,2,24,2023-11-06,1.63,1,320,19,
720952782993284483,Home in Asheville · ★5.0 · 1 bedroom · 1 bed · 1 bath,22573172,Samuel,,28806,35.56937,-82.61619,Entire home/apt,69,1,49,2023-12-05,3.31,1,0,40,
721116031423855805,Condo in Asheville · 2 bedrooms · 2 beds · 2 baths,353228765,Adriane,,28803,35.50959,-82.52995,Entire home/apt,,28,2,2022-12-02,0.15,1,0,0,
721907880901512266,Camper/RV in Asheville · ★4.97 · 1 bedroom · 2 beds · 1 bath,10554436,Han,,28805,35.61048,-82.52323,Entire home/apt,75,1,39,2023-12-10,2.68,3,338,34,
721993461963622015,Guest suite in Asheville · ★4.96 · 1 bedroom · 3 beds · 1 bath,487495,Alisha,,28806,35.57068,-82.61078,Entire home/apt,81,1,180,2023-12-04,12.16,1,0,147,
722079813111451075,Home in Asheville · ★4.75 · 4 bedrooms · 6 beds · 3 baths,478848912,Pete,,28804,35.629116,-82.51724,Entire home/apt,227,1,12,2023-11-25,1.31,5,344,12,
722082045108955258,Home in Asheville · ★4.40 · 4 bedrooms · 5 beds · 3 baths,478848912,Pete,,28806,35.608986,-82.63336,Entire home/apt,251,1,10,2023-11-25,1.08,5,7,10,
